examType;section;part;themeName;name;questions
general;speaking;1;Free time, hobbies & Skills;Singing;"Do you like singing?
Do you often sing?
Have you ever learned how to sing?
Who do you want to sing for?
When do you like to sing?
What kinds of songs do you like to sing? What music?
Do you want to be a singer?
Is it difficult to sing well?"
general;speaking;1;Free time, hobbies & Skills;Fishing;"Is fishing popular in your country?
Do you like eating fish?
Why do you think people enjoy fishing?
Are there many places to go fishing in your area?
Have you ever tried fishing?"
general;speaking;1;Free time, hobbies & Skills;Running;"Do you like running?
Where do you usually run?
How often do you go running?
Did you enjoy doing exercise when you were younger?
Would you ever like to run in an event? (a marathon etc.)"
general;speaking;1;Free time, hobbies & Skills;Ambitions;"1.) Do you think you are an ambitious person?
Did you have a lot of ambitions when you were younger?
What ambitions do you have these days?
Do you have more ambitions for your work or for your free time?
Have you ever achieved one of your ambitions before?"
general;speaking;1;Free time, hobbies & Skills;Birthdays;"What do you usually do on your birthday?
Do you think it is important for you to celebrate your birthday?
What did you do on your birthday when you were young?
How did you celebrate your last birthday?
What birthday presents do you like to get?
How do children celebrate birthdays in your country?"
general;speaking;1;Free time, hobbies & Skills;Days off;"What do you usually do on your days off?
When was the last time you had a few days off?
Do you ever feel like you waste your free time?
How often do you get to take time off work / studies?
Do you wish you had more time off?"
general;speaking;1;Free time, hobbies & Skills;Writing;"Do you write a lot?
Do you prefer writing by hand or typing?
Did you like writing things when you were a child?
What do you like to write? Why?
Do you think the things you write would change?"
general;speaking;1;Free time, hobbies & Skills;Puzzles;"Do you like puzzles?
Do you like doing word puzzles or number puzzles?
Did you like doing puzzles when you were a kid?
When do you do puzzles, during trips, or when you feel bored?
Do you think it is suitable for older people to do puzzles?"
general;speaking;1;Free time, hobbies & Skills;Weekends;"Do you like weekends?
What do you do in your spare time?
What do you usually do on weekends? Do you study or work?
What did you do last weekend?
Do you have plans for your weekends?
Is it important to make the most of your weekends?"
general;speaking;1;Free time, hobbies & Skills;Your week;"What’s your favourite day of the week?
Describe a typical day for you.
Is there anything that you do every day?
What do you usually do at the weekends?
Do you have a favourite day of the week?"
general;speaking;1;Free time, hobbies & Skills;Staying up late;"Do you often stay up late?
Do you usually go to bed early or stay up late?
Did you stay up late when you were a kid?
What do you do when you stay up late?
What did you do the last time you stayed up late?
What do you feel the following day when you stay up late?"
general;speaking;1;Free time, hobbies & Skills;Morning;"What's your morning routine?
Do you like mornings or evenings?
Is breakfast important for you?
Have you ever changed your morning routine?"
general;speaking;1;Free time, hobbies & Skills;Art;"Do you like art?
Would you like to become an artist?
Have you ever visited an art gallery?
Are there many art galleries in your area?
Do you have any artwork in your house?
Do you like modern art or traditional art?"
general;speaking;1;Technology;Robots;"Are you interested in robots?
Do you think robots will make a big difference to people’s lives in the future?
Do you think robots could make a big difference at your work?
Would you want to be a passenger in a self-driving car?"
general;speaking;1;Technology;Technology;"Do you like to use new technology?
What are the benefits of using technology?
What technology do you often use, computers or cell phones?
What electronic devices have you bought lately?
Is there any technology you want to buy?
What are the benefits of technology?"
general;speaking;1;Technology;Text messages;"Do you like texting?
Why do you send texts?
In what situations is making a call better than writing a text?
Is texting better than calling people?
Do you receive texts with ads?"
general;speaking;1;Technology;Internet and computers;"How often do you use a computer?
What do you use computers for?
Is it OK for children to have mobile phones?
Do you like modern technology?
What modern technology don’t you like?
Is it bad to use the Internet too much?"
general;speaking;1;Media & Entertainment;Music;"What kind of music do you like to listen to?
What kinds of music are popular in your country?
Have you ever tried to learn a musical instrument?
How much time do you spend listening to music each day?
Have you ever been to a live concert?
Do you ever listen to music while you are at work?"
general;speaking;1;Media & Entertainment;Social Media;"Do you like using social media?
Do your friends use social media a lot?
What kinds of social networks do you use?
What’s the most popular social media platform in your country?"
general;speaking;1;Media & Entertainment;Musical instruments;"Can you play any musical instruments?
Did you learn to play any instruments when you were younger?
Is it a requirement to learn how to play an instrument at school in your country?
Is there an instrument you would like to learn?
Do you know many people who do play musical instruments?"
general;speaking;1;Media & Entertainment;Films & Movies;"Do you like watching films?
How often do you go to the cinema?
Did you enjoy the cinema when you were younger?
Do you enjoy watching movies alone or with friends?
Can you remember the first film you saw in the cinema?
Are you interested in watching films made in your own country?"
general;speaking;1;Body & Mind;Being Bored;"Do you often get bored?
What kinds of things are boring to you?
Did you think that school was boring when you were younger?
Do you feel bored more often now than when you were younger?
What do you do when you start feeling bored?"
general;speaking;1;Body & Mind;Noise;"Do you live in a noisy area?
(If yes) Does being in a noisy place bother you?
Are there any specific noises that annoy you?
Is it usually louder in the countryside or in the city in your country?
Do you think cities are getting noisier these days?
What do you do to escape noisy places?"
general;speaking;1;Body & Mind;Health;"What kind of exercise do you normally do?
Do you usually try and look after your health?
What are your favourite sports?
What things do you eat to take care of your health?
Have you ever been on a diet?"
general;speaking;1;Body & Mind;Dreams;"Do you usually remember your dreams?
Do you think dreams have any special meaning?
Have you ever had a bad dream?
Do you ever write down your dreams after you wake up?
Do you like to listen to other people talking about their dreams?"
general;speaking;1;Body & Mind;Concentration;"Do you find it difficult to stay focused?
What can you do to improve your concentration?
When do you find it hard to concentrate on something?
In what situations do you need to concentrate?
It is easy for you to do 2 things simultaneously (at the same time?)"
general;speaking;1;Body & Mind;Happiness;"What things made you happy when you were a child?
What  activities make you feel happy now?
What kinds of people make you happy?
When during the day do you feel happiest?
Does food ever make you happy?
What do you do to stay happy?"
general;speaking;1;Clothes & accessories;Sunglasses;"Do you like to wear sunglasses?
How often do you wear sunglasses?
How often do you buy new sunglasses?
Have you ever lost a pair of sunglasses?"
general;speaking;1;Clothes & accessories;Clothes;"What kinds of clothes do you like to wear?
What colour clothing do you usually wear?
Do you wear the same kinds of clothes during the week and on weekends?
Are there big differences between the clothes that men and women wear in your country?
Do people in your country like to wear brightly colored clothing?"
general;speaking;1;Clothes & accessories;Bags;"Do you like bags?
Do you have different bags for different occasions?
Do you usually carry a bag when you go out?
What do you put in your bag?
When you are buying a new bag, what factors do you consider?"
general;speaking;1;Clothes & accessories;Hair;"Do you like going to the hairdresser's?
Do you want to change your hair colour?
How often do you have a haircut?
How long have you had this haircut?
Have you had a haircut you didn't like?"
general;speaking;1;Clothes & accessories;Jewellery;"Do you like wearing jewelry?
How often do you wear jewelry?
Do you wear a lot of jewelry?
What type of jewelry do you like to wear?
Do you usually buy jewelry?
Why do some people wear a piece of jewelry for a long time?
Have you ever given jewelry as a gift?"
general;speaking;1;Clothes & accessories;T-shirts;"Do you own many t-shirts?
Do you like t-shirts with pictures or prints?
Do you like wearing t-shirts?
How often do you wear t-shirts?
Are t-shirts popular in your country?
When is it appropriate to wear a t-shirt in your country?
Do you have a lot of clothes in your wardrobe?"
general;speaking;1;Things & Objects;Collecting things;"What kind of items do people collect in your country?
Is collecting things a popular pastime in your country?
Why do you think people like having collections?
Do you collect anything?"
general;speaking;1;Things & Objects;Colours;"What’s your favourite colour?
What are some popular colours in your country?
What colour clothes do you like to wear?
Are there any colours you don’t like?
What colours would you like to have in your home?"
general;speaking;1;Things & Objects;Maps;"Are you able to read a map?
How often do you use a map in your daily life?
Do you prefer using a physical or a digital map?
Do you remember the first time you used a map?
Do you think it’s important to be able to read a map anymore?"
general;speaking;1;Things & Objects;Gifts;"What kinds of gifts are popular in your country?
What was the last gift you received?
Do you often buy gifts for other people?
Is it appropriate for people to buy expensive gifts for each other in your country?
Have you ever received a gift that you didn’t like before?"
general;speaking;1;Things & Objects;Keys;"Do you always bring many keys with you?
Have you ever lost a key and had to replace it?
Is it a good idea to leave your key with a neighbour?
Have you ever locked yourself out?
How can you avoid losing your keys?
Do you always take your keys when you go out?"
general;speaking;1;Things & Objects;Fixing things;"Do you often fix things in your home?
Are you good at fixing things?
What kinds of things do you have to fix?
Who taught you how to fix things?
Do you often break things in your home?"
general;speaking;1;Food & Eating;Cakes;"Do you like to eat cake?
Did you like cake when you were younger?
Have you ever tried to make a cake on your own?
When do people usually eat cakes in your country?
Do you ever eat cakes or sweet things after a meal?"
general;speaking;1;Food & Eating;Tea & Coffee;"Are tea and coffee popular in your country?
Do you prefer tea or coffee?
How often do you drink tea or coffee?
Is it common to offer people tea or coffee when they visit your home?
Did people drink tea or coffee a lot when you were younger too?"
general;speaking;1;Food & Eating;Chocolate;"Do you like eating chocolate?
How often do you eat chocolate?
What's your favorite flavor?
Did you often eat chocolate when you were a kid?
Is it good to give chocolate as gifts to others? Did you do that?
Why do you think chocolate is popular around the world?"
general;speaking;1;Food & Eating;Ice Cream;"Do you like ice cream?
How often do you eat ice cream?
What flavour of ice cream is your favourite?
Why do you think so many people like ice cream?
Did you like ice cream when you were younger?"
general;speaking;1;Food & Eating;Snacks;"What’s your opinion on snacks between meals?
Is it healthy to eat snacks?
What kind of snacks do you like to eat?
What kind of snacks do children in your country like to eat?
When do you usually have snacks?
What was the most popular snack when you were young?
Do your parents allow you to have snacks?"
general;speaking;1;Food & Eating;Cooking;"Do you like cooking?
What do you usually cook?
Would you like to learn how to cook?
Who usually does the cooking in your family?"
general;speaking;1;Work, Business, Money & Shopping;Advertising;"Is there much advertising in your country?
How do you feel about advertisements?
Do you ever stop watching things because of advertisements?
What kind of places do you see a lot of advertisements?
Do you think there is too much advertising in some places?"
general;speaking;1;Work, Business, Money & Shopping;Money;"Are you good at saving money?
Did you try and save up your money when you were younger?
What kinds of things do you like to save up for?
What kinds of things do you spend most of your money on?"
general;speaking;1;Work, Business, Money & Shopping;Occupation/Work;"Do you work or are you a student?
Why did you choose this kind of work/to study this subject?
Do you like your job?
What’s the most interesting part of being a ... (... / student)?
What’s the most difficult part of being a ... (... / student)?
What do you dislike about your work or studies?
What was your dream job when you were a child?
Have you changed your mind since then?
What kind of work would you like to do in the future?"
general;speaking;1;Work, Business, Money & Shopping;Small businesses;"Are there many small businesses in your area?
Do you know many small businesses?
Do you prefer shopping in big companies or small shops?
Why do some people prefer to shop at small businesses?
Would you ever like to run your own small business?
When was the last time you bought something from a small business?"
general;speaking;2;Home & Hometown;problem;"Describe a problem in your city. You should say:
	what it is
	how serious it is
	what causes this problem
and say what can be done to solve or reduce the effects of this problem."
general;speaking;2;Home & Hometown;Shopping street;"Describe a shopping street in your hometown. You should say:
	What things you can buy there
	What the most popular shops are
	Any changes there have been over the years
And say if you think shopping there will become more or less popular in the future, and why"
general;speaking;2;Home & Hometown;Shopping in your city;"Describe a shop in your hometown or the place you are living now. You should say:
	Where it is
	What it sells
	What the advantages of shopping there are
And, if you think it will be popular or not in the future, and why"
general;speaking;2;Home & Hometown;Transportation in the hometown;"Describe the transportation system in your hometown or the place you are living now. You should say
	What kind of transportation there is
	Which kind of transportation most people use
	What the good points and bad points of the transportation system are
And say if you think most people are happy with the transportation system or not, and why"
general;speaking;2;Places;Historical place;"Describe a historical place that you have visited. You should say:
	what kind of place it is
	where it is located
	what the historical significance of the place is
and describe your experience of the place."
general;speaking;2;Places;Restaurants;"Describe a restaurant or a cafe you often go to. You should say:
	Where it is
	What it looks like
	What kind of services are provided
	What kind of food you like there/ What kind of food is famous?
And say why you like it"
general;speaking;2;Places;Shop ;"Describe a shop near where you live that you sometimesuse.
You should say:
- What sorts of product or service it sells
- What the shop looks like 
- Where it is located
And explain why you use this shop."
general;speaking;2;Places;Place of entertainment;"Describe a place of entertainment (e.g. theatre, cinema, sports centre) that you would like to have where you live. 
You should say:
- What this place would be
- Where it should be
- Whom it would be for, or who would use it
and why you think this place of entertainment is needed"
general;speaking;2;Nature, Animals & The Environment;Environment;"Describe an environmental problem or event. You should say:
	What it is
	Where is it happening
	What problems it causes"
general;speaking;2;Nature, Animals & The Environment;Wild animal you have seen;"Describe a wild animal you have seen.
You should say:
What it looks like
Where you can see it
What it likes to eat or do
And explain why you like it"
general;speaking;2;Nature, Animals & The Environment;Weather;"Describe your favorite weather/weather you like.
You should say:
what kind of weather it is
when this weather usually occurs
what you usually do during this weather
and explain why you like it."
general;speaking;2;Nature, Animals & The Environment;Seasons;"Describe your favorite season of the year.
You should address:
Which season it is.
What the weather is like during the season.
What you like to do during the season.
And explain why this season is your favorite."
general;speaking;2;Travel & Transport;Favourite city;"Describe your favourite city or a city you have visited that you like very much. You should say:
	What its name is and where it is
	when you visited it.
	why you liked it
And the major attractions in this city are"
general;speaking;2;Travel & Transport;Transportation you use;"Talk about one means of transportation that you often use. You should mention:
	Where you usually go by that means of transportation
	What the advantages of that method of travelling are
	What the disadvantages are
And say if you think you will use that means of transport more or less often in the future, and why"
general;speaking;2;Travel & Transport;Your journey;"Describe a journey you have been on. You should say
	Where you went
	What kind or kinds of transport you used
	How long the journey took
And say whether you think it was easy to take this journey or not, and why"
general;speaking;2;Travel & Transport;Tourism in your country;"Talk about something tourists like to do in your country. You should say:
	How well known the activity is
	Why it is popular
	What kinds of people like to do it
And say if you think it will become more popular or less popular in the future and why"
general;speaking;2;Travel & Transport;One day trip;"Talk about a day trip you have been on. You should say:
	Where you went
	How you travelled
	Why you chose to go to that place
And say whether you would like to go back to the same place again or not, and why"
general;speaking;2;Family, friends & Other people;Family together;"Talk about the last time your whole family got together. You should mention:
	Where you met
	What you did together
	How long you spent together
And say if you would like to do the same thing again soon or not, and why"
general;speaking;2;Family, friends & Other people;Family member;"Describe a family member that you get on well with. You should mention:
	What their personality is like
	What things they like doing
	If they have any strong dislikes
And say why you think you have a good relationship"
general;speaking;2;Family, friends & Other people;One of your relatives;"Describe one of your relatives. You should say:
	What that person looks like
	What that person’s character is like
	What they are doing at the moment
And say which other relative of yours they are most similar to"
general;speaking;2;Family, friends & Other people;Important friend;"Describe a friend who has played an important part in your life. You should say:   
	How you met this person
	How long you have known him or her
	The kind of things you do or have done together
And explain why this person has been important in your life"
general;speaking;2;Family, friends & Other people;School friend;"Describe a friend you had in primary school. You should say:
	What that person was like
	How long you were friends for
	What things you did together
And say whether you are still in contact with that person or not, and why"
general;speaking;2;Family, friends & Other people;Parenting;"Describe people that you know and believe to be very good parents. You should say:
	Who they are
	How you met them
	Why you think they are good parents
And explain what it requires to be good parents."
general;speaking;2;Family, friends & Other people;Help;"Describe a time when you helped someone. You should say
	When you helped
	How you helped
	How you felt after helping"
general;speaking;2;Scools & Studies;Learning languages;"Talk about one method of learning a foreign language you have used. You should say:
	What you did
	How long you used this method for
	How it compares to other methods of learning a language
And say if you will use that same method in the future or not, and why"
general;speaking;2;Scools & Studies;English books;"Talk about an English language book you have read or used. You should say:       
	Why you bought or used that book
	What you learned from using it
	If it was difficult or easy to use
And say if you would use a similar book again or not, and why"
general;speaking;2;Scools & Studies;Language tests;"Talk about a language test you have taken. You should say:
	Where you took the test
	How long it took
	What skills and language knowledge you were tested on
And say if you think the test was a good indicator of your language level or not, and why"
general;speaking;2;Scools & Studies;Your school;"Describe a school that you are attending or attended in the past. You should say:
	What it looks like from the outside
	What it looks like inside
	What facilities it has
And say if you think it is a good school building or not, and why"
general;speaking;2;Scools & Studies;Favourite subject;"Talk about a subject you would like to study in the future. You should say:
	Why you want to study that subject
	What things about that subject you find particularly interesting
	Where it is possible to study that subject
And say if you think you will start studying it soon or not, and why"
general;speaking;2;Scools & Studies;Favourite science;"Describe an area of science that you are interested in. You should say
	What it is
	What you can learn from it
	When you started become interested in it
And explain how this area of science helps you"
general;speaking;2;Scools & Studies;Science in school;"Describe a scientific subject that you learned about in high school. You should say:
	what subject it was
	who taught you this subject
	what you learned from it
and explain how this subject helped you in your life."
general;speaking;2;Scools & Studies;Teacher;"Describe the best teacher you have had. You should say:
	what subject the teacher taught
	when you studied with him or her
	what made that person a good teacher
	and explain why you think this person was the best teacher you’ve had."
general;speaking;2;Free time, hobbies & Skills;Art;"Talk about a painting you would like to have in your home.You should say:
	what is it
	how you know about it
	how much it would cost you
and explain why you want to have it in your home."
general;speaking;2;Free time, hobbies & Skills;Books;"Talk about a book you are reading now or have read recently. You should say:    
	How and why you got it
	How long you it took you to read it or how long you have been reading it
	What kind of book it is
And say if you would like to read something else similar or not, and why"
general;speaking;2;Free time, hobbies & Skills;Party;"Describe the best party you have been to. You should say:
	whose party it was
	who was there
	what happened at the party
and explain what made it so enjoyable."
general;speaking;2;Free time, hobbies & Skills;Plans;"Talk about one thing you are going to do next weekend. You should mention:
	Where you are going to do it
	Who you are going to do it with
	Any equipment you need to do it
And say whether you are looking forward to it or not, and why"
general;speaking;2;Free time, hobbies & Skills;Holiday activities;"Talk about an activity you like doing when you are on holiday. You should say:
	Where you usually do it
	Who you do it with
	Why you enjoy it
And say whether you also enjoyed doing that when you were a child or not, and why"
general;speaking;2;Free time, hobbies & Skills;Place for holiday;"Talk about somewhere you went on holiday. You should say:
	How you got there
	What activities you did there
	Who you went with
And say if you would recommend that holiday to a friend or not, and why"
general;speaking;2;Free time, hobbies & Skills;Dream holiday;"Talk about your dream holiday. You should say:
	Where you would like to go
	What kind of accommodations you would like
	What activities you would like to do
And say if you ever think you will go on a holiday like that or not, and why"
general;speaking;2;Free time, hobbies & Skills;Vacation plans;"Talk about your plans for your next long vacation. You should say:
	Where you want to go
	Who you want to go there with
	What you want to do when you get there
And say how likely you are to do what you have planned, and why"
general;speaking;2;Free time, hobbies & Skills;Late;"Describe a time you were late for something. You should say:
	when it was
	why you were late
	how people reacted to you being late
and explain what happened because you were late."
general;speaking;2;Free time, hobbies & Skills;Hobbies;"Talk about a leisure activity you did when you were a child. You should say:
	How you first became interested in it
	How long you did it or have been doing it for
	Why you enjoyed doing it
And say if you have become more or less interested in that hobby since you were a child, and why"
general;speaking;2;Technology;Electronic devices you would like to own;"Describe a useful electronic device you would like to own. You should say:
	what it is
	how it would help your life
	if it would be expensive to buy
and explain why you would like it."
general;speaking;2;Technology;Your electronic devices;"Describe a piece of electronic equipment that you have.You should say:
	what it is
	what you used it for
	how long you have used it
and describe why it is important to you"
general;speaking;2;Technology;Useful electronic devices ;"Describe a piece of electronic equipment that you find useful.You should say:
	what it is
	how you learned to use it
	how long you have had it
and explain why you find this piece of electronic equipment useful."
general;speaking;2;Technology;Machine;"Describe the most useful household appliance that you have. You should say:
	What it is
	How it works
	How life would be without it
And explain why it is so important to you to you."
general;speaking;2;Technology;New device;"Describe a time when you started using a new technological device (e.g. a new computer or phone).
You should say: 
- What device you started using
- Why you started using this device
- How easy or difficult it was to use
And explain how helpful this device was to you."
general;speaking;2;Media & Entertainment;Internet;"Describe a website that you often use. You should say:
	what type of website it is
	how you found out about it
	what it allows you to do, and why you find it useful."
general;speaking;2;Media & Entertainment;Music;"Talk about a musical instrument you would like to be able to play but have never tried. You should say:
	What the instrument looks like
	What it sounds like
	What kinds of people it is popular with
And say if you think you will ever try to play that instrument or not, and why"
general;speaking;2;Media & Entertainment;News;"Describe an interesting piece of news that you have recently read about or heard aboutYou should say:
	what the story was
	who was involved in the story
	where you read or heard about this story
and explain why this news story was interesting to you."
general;speaking;2;Media & Entertainment;TV;"Describe a TV programme that you often watch. You should say:
	What kind of programme it is
	Why you watch it
	When and why you first started watching it
And say if you think that programme is better than other TV programmes that are on at the same time or not, and why"
general;speaking;2;Body & Mind;Change;"Describe a positive change in your life. You should say:
	what the change was about
	when it happened
	describe details of the change happened
and describe how it affected you later in life."
general;speaking;2;Body & Mind;Rules;"Describe a traffic rule or law you know about. You should say:
	what it is
	how you know about it
	if you follow this rule or law
and explain why this rule is important."
general;speaking;2;Body & Mind;Rules you obey;"Describe a rule you had to obey when you were in school. You should say:
	what the rule was
	if you agreed with the rule
	why the rule existed
and what happened if students broke the rule."
general;speaking;2;Body & Mind;Decision;"Describe an important decision you have made. You should say:
	what the decision was
	why you made that choice
	who helped you make the choice
and explain why the decision was so important."
general;speaking;2;Body & Mind;Exciting experience;"Describe an exciting experience you’ve had. You should say:
	when it was
	where you were
	what it was
And explain what made this experience especially exciting."
general;speaking;2;Body & Mind;Watching sports;"Talk about a sport you like doing or watching. You should say:
	How you first became interested in it
	Why you are interested in it
	What equipment and skills are needed for it
And say if you think it is an easy sport to do or not, and why"
general;speaking;2;Body & Mind;Popular sports you’ve never tried;"Talk about a sport many people enjoy but you have never tried. You should say:
	What equipment is needed for it
	What some of the rules are
	What kinds of people this sport is popular with
And say if you think you will do this sport in the near future or not, and why"
general;speaking;2;Body & Mind;Interesting sports you’ve never tried;"Talk about a sport that interests you but you have never tried. You should say:
	Where it is usually played
	What kinds of people usually play it
	Why it interests you
And say if you think you will ever do this sport or not, and why"
general;speaking;2;Body & Mind;Your illness or injury;"Describe your (or your friend's) experience with an illness or injury. You should say:
	What it was
	When it happened
	How you (or your friend) handled it
and say how do you feel about it now."
general;speaking;2;Body & Mind;Healthy habits ;"Describe something healthy you enjoy doing.You should say:
	What you do
	Where you do it
	Who you do it with
and explain why you think doing this is healthy."
general;speaking;2;Body & Mind;Influence;"Describe someone who has had an important influence in your life. You should say:
	Who the person is
	How long you have known him or her
	What qualities this person has
and explain why this person has had such an influence on you."
general;speaking;2;Body & Mind;Memory;"Describe an occasion when you forgot something important.You should say:
	what you forgot
	how important it was
	Some possible reasons why you forgot it"
general;speaking;2;Clothes & accessories;Favourite clothes;"Describe your favorite piece of clothing. You should say:
	Where you got it
	Do you often wear it
	When you wear it
And explain why it is your favorite piece of clothing."
general;speaking;2;Clothes & accessories;Bags;"Describe a bag you want to own.
You should say:
what kind of bag it is
where you want to buy it
how much it will cost you
and explain why you want this kind of bag."
general;speaking;2;Clothes & accessories;Unusual clothes;"Describe a person who wears unusual clothes.
You should say:
Who he/she is
How you know him/her
What kind of clothes he/she wears
Why you consider that his/her clothing choices are unusual"
general;speaking;2;Clothes & accessories;Peace of clothing;"Describe a piece of clothing you wear often.
You can say:
What it is
What it looks like
How you got it
And say why you wear it so often "
general;speaking;2;Clothes & accessories;Uniform;"Describe a time you had to wear a uniform.
You can say:
When it was
Where it was
What uniform you had to wear
And how you felt about the uniform"
general;speaking;2;Things & Objects;Furniture;"Describe a piece of furniture that you own.You should say:
	what it is
	where you bought it
	how you use it
and explain why you like it."
general;speaking;2;Things & Objects;Products;"Describe something which is produced in your country, such as a food, a handicraft, or a car.You should say:
	what it is
	what it is used for
	how it is made or produced
and explain why your country produces this thing."
general;speaking;2;Things & Objects;Gifts;"Describe a present that you gave someone. You should say:
	Who you gave it to
	Why you decided to give them a present
	Why you chose that present
And say how that present compares to other presents you have given that person or other people"
general;speaking;2;Things & Objects;Things;"Describe something you own which is very important to you. You should say:
	where you got it
	how long you have had it
	what you use it to do
And explain why it is important to you."
general;speaking;2;Things & Objects;Thing you want;"Describe something you don’t have now but would really like to own in the future.
You should say:
- What this thing is
- How long you have wanted to own it
- Where you first saw it
And explain why you would like to own it."
